"fact_id","time_id","fault_label","condition_id","shaft_rpm","engine_load","fuel_flow","air_pressure","ambient_temp","oil_temp","oil_pressure","vibration_x","vibration_y","vibration_z","cyl1_pressure","cyl1_exhaust_temp","cyl2_pressure","cyl2_exhaust_temp","cyl3_pressure","cyl3_exhaust_temp","cyl4_pressure","cyl4_exhaust_temp","sfoc","load_factor"
"42",100,0,1,"859.62","69.13","158.86","1.11","28.61","81.53","4.02","0.03","0.0480","0.0937","135.93","442.67","143.97","493.30","158.37","393.25","149.29","373.73","2.30","0.69"
"43",229,0,1,"916.96","48.83","137.39","0.98","26.12","84.02","3.58","0.03","0.0481","0.0424","136.94","439.64","150.37","429.27","140.21","409.47","157.05","390.10","2.81","0.49"
"44",100,0,1,"916.96","48.83","137.39","0.98","26.12","84.02","3.58","0.03","0.0481","0.0424","136.94","439.64","150.37","429.27","140.21","409.47","157.05","390.10","2.81","0.49"
"45",229,0,1,"952.38","70.42","143.33","1.24","18.01","80.95","2.99","0.05","0.0664","0.0320","153.27","390.77","144.80","414.01","140.66","406.44","145.94","455.45","2.04","0.70"
"46",100,0,1,"952.38","70.42","143.33","1.24","18.01","80.95","2.99","0.05","0.0664","0.0320","153.27","390.77","144.80","414.01","140.66","406.44","145.94","455.45","2.04","0.70"
"47",229,0,1,"901.27","74.22","136.81","1.33","28.56","81.52","2.91","0.07","0.0499","0.0546","133.08","416.69","144.50","425.09","158.66","450.41","136.84","399.98","1.84","0.74"
"48",100,0,1,"901.27","74.22","136.81","1.33","28.56","81.52","2.91","0.07","0.0499","0.0546","133.08","416.69","144.50","425.09","158.66","450.41","136.84","399.98","1.84","0.74"
"49",229,0,1,"904.67","61.29","139.04","1.33","27.31","80.20","3.31","0.00","0.0446","0.0703","140.69","444.90","165.90","397.71","145.50","433.50","161.19","411.98","2.27","0.61"
"50",100,0,1,"904.67","61.29","139.04","1.33","27.31","80.20","3.31","0.00","0.0446","0.0703","140.69","444.90","165.90","397.71","145.50","433.50","161.19","411.98","2.27","0.61"
"51",229,0,1,"983.65","66.83","124.88","1.26","28.99","88.30","3.14","0.03","0.0778","0.0499","132.12","490.99","148.07","381.35","132.38","439.23","148.38","393.26","1.87","0.67"
"52",100,0,1,"983.65","66.83","124.88","1.26","28.99","88.30","3.14","0.03","0.0778","0.0499","132.12","490.99","148.07","381.35","132.38","439.23","148.38","393.26","1.87","0.67"
"53",229,0,1,"948.71","84.52","133.18","1.26","28.43","85.80","2.72","0.08","0.0535","0.0756","148.80","448.50","154.91","431.64","153.75","420.84","162.67","500.55","1.58","0.85"
"54",100,0,1,"948.71","84.52","133.18","1.26","28.43","85.80","2.72","0.08","0.0535","0.0756","148.80","448.50","154.91","431.64","153.75","420.84","162.67","500.55","1.58","0.85"
"55",229,3,1,"960.27","56.02","127.85","1.19","27.12","73.57","2.92","0.04","0.0371","0.0535","136.20","420.69","137.60","441.33","134.69","526.49","148.78","410.49","2.28","0.56"
"56",100,3,1,"960.27","56.02","127.85","1.19","27.12","73.57","2.92","0.04","0.0371","0.0535","136.20","420.69","137.60","441.33","134.69","526.49","148.78","410.49","2.28","0.56"
"57",229,3,1,"1020.34","95.08","109.63","1.22","28.60","81.00","3.27","0.07","0.0800","0.0547","141.93","398.56","149.85","521.55","147.04","429.11","155.83","437.78","1.15","0.95"
"58",100,3,1,"1020.34","95.08","109.63","1.22","28.60","81.00","3.27","0.07","0.0800","0.0547","141.93","398.56","149.85","521.55","147.04","429.11","155.83","437.78","1.15","0.95"
"59",229,0,1,"989.80","70.79","133.44","1.13","28.70","78.81","3.74","0.06","0.0511","0.0730","160.42","434.97","150.70","390.36","131.26","455.26","159.40","468.46","1.89","0.71"
"60",100,0,1,"989.80","70.79","133.44","1.13","28.70","78.81","3.74","0.06","0.0511","0.0730","160.42","434.97","150.70","390.36","131.26","455.26","159.40","468.46","1.89","0.71"
"61",229,5,1,"926.00","72.09","111.58","1.18","30.40","110.16","2.07","0.05","0.0901","0.0704","156.80","425.84","146.85","391.27","156.56","382.07","143.14","398.08","1.55","0.72"
"62",100,5,1,"926.00","72.09","111.58","1.18","30.40","110.16","2.07","0.05","0.0901","0.0704","156.80","425.84","146.85","391.27","156.56","382.07","143.14","398.08","1.55","0.72"
"63",229,2,1,"911.24","68.03","124.90","1.09","25.78","79.61","3.75","0.05","0.0586","0.0704","142.36","392.35","130.43","446.61","108.13","404.01","137.95","394.94","1.84","0.68"
"64",100,2,1,"911.24","68.03","124.90","1.09","25.78","79.61","3.75","0.05","0.0586","0.0704","142.36","392.35","130.43","446.61","108.13","404.01","137.95","394.94","1.84","0.68"
"65",229,2,1,"986.14","55.50","127.10","1.17","29.58","82.60","2.87","0.03","0.0371","0.0314","156.21","452.81","147.55","459.87","120.86","419.55","161.96","442.56","2.29","0.56"
"66",100,2,1,"986.14","55.50","127.10","1.17","29.58","82.60","2.87","0.03","0.0371","0.0314","156.21","452.81","147.55","459.87","120.86","419.55","161.96","442.56","2.29","0.56"
"67",229,0,1,"907.30","60.62","141.64","1.07","25.95","77.61","4.02","0.03","0.0650","0.1066","144.84","412.13","135.98","401.71","132.32","434.83","122.61","391.87","2.34","0.61"
"68",100,0,1,"907.30","60.62","141.64","1.07","25.95","77.61","4.02","0.03","0.0650","0.1066","144.84","412.13","135.98","401.71","132.32","434.83","122.61","391.87","2.34","0.61"
"69",229,4,1,"957.35","60.39","145.20","1.15","24.92","74.68","3.50","0.41","0.2310","0.0529","144.93","430.10","134.05","424.14","141.50","410.07","157.65","438.39","2.40","0.60"
"70",100,4,1,"957.35","60.39","145.20","1.15","24.92","74.68","3.50","0.41","0.2310","0.0529","144.93","430.10","134.05","424.14","141.50","410.07","157.65","438.39","2.40","0.60"
"71",229,0,1,"925.72","57.10","140.12","1.31","21.33","71.49","4.08","0.07","0.0505","0.0508","152.31","448.66","145.42","366.26","141.16","423.98","131.37","422.27","2.45","0.57"
"72",100,0,1,"925.72","57.10","140.12","1.31","21.33","71.49","4.08","0.07","0.0505","0.0508","152.31","448.66","145.42","366.26","141.16","423.98","131.37","422.27","2.45","0.57"
"73",229,4,1,"895.36","71.05","93.02","1.30","27.43","66.22","4.03","0.26","0.3720","0.0598","143.78","401.61","150.98","463.36","146.35","404.81","147.40","388.24","1.31","0.71"
"74",100,4,1,"895.36","71.05","93.02","1.30","27.43","66.22","4.03","0.26","0.3720","0.0598","143.78","401.61","150.98","463.36","146.35","404.81","147.40","388.24","1.31","0.71"
"75",229,6,1,"946.25","73.13","119.69","0.67","26.64","78.48","3.35","0.05","0.0614","0.0805","129.70","467.94","150.01","392.28","139.80","420.73","148.59","422.88","1.64","0.73"
"76",100,6,1,"946.25","73.13","119.69","0.67","26.64","78.48","3.35","0.05","0.0614","0.0805","129.70","467.94","150.01","392.28","139.80","420.73","148.59","422.88","1.64","0.73"
"77",229,0,1,"991.41","57.69","141.69","1.18","28.21","81.52","2.74","0.04","0.0459","0.0654","154.17","435.70","154.86","433.71","146.55","394.61","149.77","339.41","2.46","0.58"
"78",100,0,1,"991.41","57.69","141.69","1.18","28.21","81.52","2.74","0.04","0.0459","0.0654","154.17","435.70","154.86","433.71","146.55","394.61","149.77","339.41","2.46","0.58"
"79",229,1,1,"936.68","64.37","117.20","1.32","32.64","67.13","3.43","0.05","0.0488","0.0547","154.61","454.33","128.66","387.01","143.83","408.90","144.30","371.51","1.82","0.64"
"80",100,1,1,"936.68","64.37","117.20","1.32","32.64","67.13","3.43","0.05","0.0488","0.0547","154.61","454.33","128.66","387.01","143.83","408.90","144.30","371.51","1.82","0.64"
"81",229,3,1,"968.80","63.00","134.58","1.27","22.93","78.56","3.54","0.05","0.0383","0.0393","129.29","389.37","140.82","406.65","146.60","449.59","145.25","545.36","2.14","0.63"
"82",100,3,1,"968.80","63.00","134.58","1.27","22.93","78.56","3.54","0.05","0.0383","0.0393","129.29","389.37","140.82","406.65","146.60","449.59","145.25","545.36","2.14","0.63"
"83",229,5,1,"977.55","63.09","102.68","1.21","27.36","97.47","0.94","0.06","0.0315","0.0461","145.78","435.03","142.42","432.83","157.62","400.94","132.75","397.13","1.63","0.63"
"84",100,5,1,"977.55","63.09","102.68","1.21","27.36","97.47","0.94","0.06","0.0315","0.0461","145.78","435.03","142.42","432.83","157.62","400.94","132.75","397.13","1.63","0.63"
"85",229,0,1,"964.24","64.88","134.68","1.18","33.40","76.82","3.13","0.03","0.0354","0.0714","143.65","432.72","146.77","400.45","141.75","425.39","141.78","405.79","2.08","0.65"
"86",100,0,1,"964.24","64.88","134.68","1.18","33.40","76.82","3.13","0.03","0.0354","0.0714","143.65","432.72","146.77","400.45","141.75","425.39","141.78","405.79","2.08","0.65"
"87",229,2,1,"938.65","70.18","163.79","1.13","29.04","73.05","4.05","0.02","0.0241","0.0506","156.63","419.00","141.15","443.15","143.50","417.06","120.12","426.88","2.33","0.70"
"88",100,2,1,"938.65","70.18","163.79","1.13","29.04","73.05","4.05","0.02","0.0241","0.0506","156.63","419.00","141.15","443.15","143.50","417.06","120.12","426.88","2.33","0.70"
"89",229,0,1,"878.57","72.40","107.71","1.24","33.11","76.24","3.41","0.07","0.0527","0.1009","148.65","459.11","130.69","358.55","143.52","417.49","141.01","433.05","1.49","0.72"
"90",100,0,1,"878.57","72.40","107.71","1.24","33.11","76.24","3.41","0.07","0.0527","0.1009","148.65","459.11","130.69","358.55","143.52","417.49","141.01","433.05","1.49","0.72"
"91",229,0,1,"970.09","64.77","122.08","1.31","26.25","81.01","3.84","0.08","0.0696","0.0670","163.84","397.32","122.86","400.79","150.96","463.37","130.22","360.05","1.88","0.65"
"92",100,0,1,"970.09","64.77","122.08","1.31","26.25","81.01","3.84","0.08","0.0696","0.0670","163.84","397.32","122.86","400.79","150.96","463.37","130.22","360.05","1.88","0.65"
"93",229,2,1,"895.93","101.39","144.80","1.15","28.18","80.71","3.83","0.03","0.0172","0.0354","113.87","474.30","144.46","422.34","153.02","418.18","148.53","430.20","1.43","1.01"
"94",100,2,1,"895.93","101.39","144.80","1.15","28.18","80.71","3.83","0.03","0.0172","0.0354","113.87","474.30","144.46","422.34","153.02","418.18","148.53","430.20","1.43","1.01"
"95",229,0,1,"995.31","69.08","107.76","1.21","28.97","77.16","4.23","0.04","0.0304","0.0960","150.86","457.71","139.75","414.22","143.59","388.17","169.27","439.19","1.56","0.69"
"96",100,0,1,"995.31","69.08","107.76","1.21","28.97","77.16","4.23","0.04","0.0304","0.0960","150.86","457.71","139.75","414.22","143.59","388.17","169.27","439.19","1.56","0.69"
"97",229,0,1,"924.88","59.60","128.86","1.34","26.78","75.12","3.26","0.06","0.0570","0.0630","148.17","485.15","148.95","405.77","132.31","452.69","164.68","374.67","2.16","0.60"
"98",100,0,1,"924.88","59.60","128.86","1.34","26.78","75.12","3.26","0.06","0.0570","0.0630","148.17","485.15","148.95","405.77","132.31","452.69","164.68","374.67","2.16","0.60"
"99",229,6,1,"933.24","78.66","134.00","0.59","27.96","82.26","4.16","0.02","0.0559","0.0545","139.79","403.25","147.69","408.65","147.03","452.54","150.43","434.95","1.70","0.79"
"100",100,6,1,"933.24","78.66","134.00","0.59","27.96","82.26","4.16","0.02","0.0559","0.0545","139.79","403.25","147.69","408.65","147.03","452.54","150.43","434.95","1.70","0.79"
"101",229,1,1,"935.41","74.70","134.48","1.27","29.94","80.30","4.32","0.07","0.0700","0.0419","155.96","442.37","158.07","365.51","155.19","392.67","128.41","441.69","1.80","0.75"
"102",100,1,1,"935.41","74.70","134.48","1.27","29.94","80.30","4.32","0.07","0.0700","0.0419","155.96","442.37","158.07","365.51","155.19","392.67","128.41","441.69","1.80","0.75"
"103",229,0,1,"899.77","62.31","140.09","1.23","28.69","82.90","3.01","0.07","0.0406","0.0452","134.73","452.39","141.05","423.93","146.97","425.23","144.02","405.52","2.25","0.62"
"104",100,0,1,"899.77","62.31","140.09","1.23","28.69","82.90","3.01","0.07","0.0406","0.0452","134.73","452.39","141.05","423.93","146.97","425.23","144.02","405.52","2.25","0.62"
"105",229,0,1,"916.18","46.72","128.16","1.19","21.72","79.41","3.01","0.04","0.0720","0.0511","144.08","451.85","144.42","467.96","149.53","409.75","138.25","426.78","2.74","0.47"
"106",100,0,1,"916.18","46.72","128.16","1.19","21.72","79.41","3.01","0.04","0.0720","0.0511","144.08","451.85","144.42","467.96","149.53","409.75","138.25","426.78","2.74","0.47"
"107",229,0,1,"961.66","75.01","119.94","1.12","29.60","71.48","3.90","0.07","0.1065","0.0786","133.40","402.96","143.17","438.98","151.51","445.79","151.96","431.03","1.60","0.75"
"108",100,0,1,"961.66","75.01","119.94","1.12","29.60","71.48","3.90","0.07","0.1065","0.0786","133.40","402.96","143.17","438.98","151.51","445.79","151.96","431.03","1.60","0.75"
"109",229,3,1,"1078.95","72.88","147.48","1.09","24.35","72.48","3.33","0.02","0.0696","0.0688","147.59","472.00","144.62","432.81","154.15","419.77","151.52","432.12","2.02","0.73"
"110",100,3,1,"1078.95","72.88","147.48","1.09","24.35","72.48","3.33","0.02","0.0696","0.0688","147.59","472.00","144.62","432.81","154.15","419.77","151.52","432.12","2.02","0.73"
"111",229,0,1,"946.96","90.49","101.57","1.08","31.22","83.56","3.55","0.08","0.0610","0.1008","144.91","422.93","149.82","410.60","152.00","442.64","141.78","444.17","1.12","0.90"
"112",100,0,1,"946.96","90.49","101.57","1.08","31.22","83.56","3.55","0.08","0.0610","0.1008","144.91","422.93","149.82","410.60","152.00","442.64","141.78","444.17","1.12","0.90"
"113",229,0,1,"910.18","70.33","144.80","1.20","30.04","70.83","3.67","0.07","0.0302","0.0708","131.98","437.32","120.43","415.13","132.55","351.14","126.26","365.47","2.06","0.70"
"114",100,0,1,"910.18","70.33","144.80","1.20","30.04","70.83","3.67","0.07","0.0302","0.0708","131.98","437.32","120.43","415.13","132.55","351.14","126.26","365.47","2.06","0.70"
"115",229,2,1,"957.83","64.28","127.30","1.33","24.95","69.52","2.74","0.04","0.0607","0.0562","136.93","412.58","129.22","436.80","149.65","414.59","143.70","361.19","1.98","0.64"
"116",100,2,1,"957.83","64.28","127.30","1.33","24.95","69.52","2.74","0.04","0.0607","0.0562","136.93","412.58","129.22","436.80","149.65","414.59","143.70","361.19","1.98","0.64"
"117",229,5,1,"869.80","73.16","96.78","1.09","29.21","88.79","1.79","0.03","0.0477","0.0635","128.24","416.78","151.93","459.13","152.54","439.22","146.06","413.85","1.32","0.73"
"118",100,5,1,"869.80","73.16","96.78","1.09","29.21","88.79","1.79","0.03","0.0477","0.0635","128.24","416.78","151.93","459.13","152.54","439.22","146.06","413.85","1.32","0.73"
"119",229,6,1,"906.81","54.85","139.09","0.81","31.13","79.66","3.15","0.03","0.0626","0.0687","161.19","418.23","135.99","440.09","144.59","399.54","139.29","371.37","2.54","0.55"
"120",100,6,1,"906.81","54.85","139.09","0.81","31.13","79.66","3.15","0.03","0.0626","0.0687","161.19","418.23","135.99","440.09","144.59","399.54","139.29","371.37","2.54","0.55"
"121",230,0,1,"906.20","65.34","117.30","1.16","28.67","80.36","4.11","0.03","0.0279","0.0506","165.02","418.31","143.01","398.52","146.32","412.74","127.73","391.60","1.80","0.65"
"122",16,0,1,"906.20","65.34","117.30","1.16","28.67","80.36","4.11","0.03","0.0279","0.0506","165.02","418.31","143.01","398.52","146.32","412.74","127.73","391.60","1.80","0.65"
"123",230,0,1,"938.08","83.67","126.09","1.13","27.01","77.65","4.45","0.04","0.0654","0.0441","138.93","407.37","138.35","419.01","135.11","413.44","152.73","435.17","1.51","0.84"
"124",16,0,1,"938.08","83.67","126.09","1.13","27.01","77.65","4.45","0.04","0.0654","0.0441","138.93","407.37","138.35","419.01","135.11","413.44","152.73","435.17","1.51","0.84"
"125",230,0,1,"946.43","71.54","137.68","1.09","22.70","74.97","3.26","0.03","0.0559","0.0869","143.30","417.00","144.55","407.16","146.19","436.38","135.96","371.98","1.92","0.72"
"126",16,0,1,"946.43","71.54","137.68","1.09","22.70","74.97","3.26","0.03","0.0559","0.0869","143.30","417.00","144.55","407.16","146.19","436.38","135.96","371.98","1.92","0.72"
"127",230,0,1,"899.99","74.50","127.29","1.24","24.07","86.06","2.23","0.03","0.0601","0.0370","132.21","424.97","147.36","432.66","147.14","438.71","147.19","404.92","1.71","0.75"
"128",16,0,1,"899.99","74.50","127.29","1.24","24.07","86.06","2.23","0.03","0.0601","0.0370","132.21","424.97","147.36","432.66","147.14","438.71","147.19","404.92","1.71","0.75"
"129",230,3,1,"892.92","62.96","157.82","1.01","27.19","86.20","3.19","0.03","0.0484","0.0581","145.32","494.98","137.79","353.62","148.95","467.95","138.90","394.73","2.51","0.63"
"130",16,3,1,"892.92","62.96","157.82","1.01","27.19","86.20","3.19","0.03","0.0484","0.0581","145.32","494.98","137.79","353.62","148.95","467.95","138.90","394.73","2.51","0.63"
"131",230,0,1,"996.97","84.52","136.09","1.09","27.04","78.89","3.39","0.05","0.0483","0.0712","143.77","452.61","151.12","391.74","153.90","432.40","139.85","404.47","1.61","0.85"
"132",16,0,1,"996.97","84.52","136.09","1.09","27.04","78.89","3.39","0.05","0.0483","0.0712","143.77","452.61","151.12","391.74","153.90","432.40","139.85","404.47","1.61","0.85"
"133",230,6,1,"1007.82","65.76","132.69","0.96","32.98","72.82","3.68","0.02","0.0453","0.0879","147.74","388.38","129.04","415.74","135.72","400.09","140.94","455.22","2.02","0.66"
"134",16,6,1,"1007.82","65.76","132.69","0.96","32.98","72.82","3.68","0.02","0.0453","0.0879","147.74","388.38","129.04","415.74","135.72","400.09","140.94","455.22","2.02","0.66"
"135",230,0,1,"995.95","57.90","120.79","1.23","28.32","75.82","3.01","0.07","0.0537","0.0722","136.33","421.67","146.46","473.38","143.03","374.16","164.74","407.63","2.09","0.58"
"136",16,0,1,"995.95","57.90","120.79","1.23","28.32","75.82","3.01","0.07","0.0537","0.0722","136.33","421.67","146.46","473.38","143.03","374.16","164.74","407.63","2.09","0.58"
"137",230,0,1,"976.35","82.06","119.97","1.21","31.56","80.74","3.35","0.02","0.0559","0.0780","149.09","456.01","128.72","392.65","135.08","440.86","120.79","441.43","1.46","0.82"
"138",16,0,1,"976.35","82.06","119.97","1.21","31.56","80.74","3.35","0.02","0.0559","0.0780","149.09","456.01","128.72","392.65","135.08","440.86","120.79","441.43","1.46","0.82"
"139",230,6,1,"931.20","58.41","132.84","0.68","30.58","80.00","2.91","0.04","0.0691","0.0877","151.60","416.45","129.18","426.30","150.08","438.97","166.12","454.52","2.27","0.58"
"140",16,6,1,"931.20","58.41","132.84","0.68","30.58","80.00","2.91","0.04","0.0691","0.0877","151.60","416.45","129.18","426.30","150.08","438.97","166.12","454.52","2.27","0.58"
"141",230,4,1,"935.32","63.93","138.04","1.25","34.59","75.05","3.86","0.34","0.3353","0.0792","151.39","420.82","136.33","392.97","149.95","418.99","139.28","416.54","2.16","0.64"
"142",16,4,1,"935.32","63.93","138.04","1.25","34.59","75.05","3.86","0.34","0.3353","0.0792","151.39","420.82","136.33","392.97","149.95","418.99","139.28","416.54","2.16","0.64"
"143",230,0,1,"998.03","56.52","141.11","1.33","28.93","79.59","3.59","0.06","0.0352","0.0715","149.38","479.97","135.71","435.18","143.67","441.27","150.22","471.51","2.50","0.57"
"144",16,0,1,"998.03","56.52","141.11","1.33","28.93","79.59","3.59","0.06","0.0352","0.0715","149.38","479.97","135.71","435.18","143.67","441.27","150.22","471.51","2.50","0.57"
"145",230,0,1,"928.34","68.79","143.37","1.24","23.38","80.03","3.53","0.06","0.0571","0.0645","136.95","466.79","150.12","492.32","128.05","408.64","130.23","428.34","2.08","0.69"
"146",16,0,1,"928.34","68.79","143.37","1.24","23.38","80.03","3.53","0.06","0.0571","0.0645","136.95","466.79","150.12","492.32","128.05","408.64","130.23","428.34","2.08","0.69"
